zone_id,jurisdiction_id,jurisdiction_name,zone_code,zone_name,category,min_lot_size_sf,min_lot_width_ft,max_density_dua,max_far,max_lot_coverage_pct,max_height_ft,max_stories,front_setback_ft,side_setback_ft,rear_setback_ft,parking_ratio,source_doc,source_citation,source_page,provenance,confidence,human_verified,notes
az-apache-junction:b-1,az-apache-junction,City of Apache Junction,B-1,General Commercial,commercial,7000,50,22,TBD,TBD,35,TBD,20,10,10,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-4",,official-html,extracted,,"Min lot area 7,000 sf (net). Max residential density 22 du/ac (min 1,980 sf/du). Front for main structure. Side uses interior side setback for accessory structures (10 ft); Table 5-4 has no separate main-structure interior side. Rear is minimum rear (all structures). Uses not extracted (Table 5-3 not retrieved)."
az-apache-junction:b-2,az-apache-junction,City of Apache Junction,B-2,Old West Commercial,commercial,5000,50,22,TBD,TBD,35,TBD,0,5,5,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-4",,official-html,extracted,,"Downtown Transition Area. Min lot area 5,000 sf (net). Max residential density 22 du/ac. Main-structure front 0; street side 0. Side uses accessory interior side 5 ft. Rear is minimum rear (all structures). Uses not extracted."
az-apache-junction:b-3,az-apache-junction,City of Apache Junction,B-3,City Center,downtown,7000,50,40,TBD,TBD,60,TBD,0,5,5,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-4",,official-html,extracted,,"Core Downtown Area (commercial/recreational/multi-family). Min lot area 7,000 sf (net). Max residential density 40 du/ac. Main-structure front 0; street side 0. Side uses accessory interior side 5 ft. Rear is minimum rear (all structures). Uses not extracted."
az-apache-junction:b-4,az-apache-junction,City of Apache Junction,B-4,Business Park,industrial,15000,75,TBD,TBD,TBD,35,TBD,20,10,10,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-4",,official-html,extracted,,"Commercial/light-industrial. Min lot area 15,000 sf (net). Residential density N/A. Side uses accessory interior side 10 ft. Rear is minimum rear. Uses not extracted."
az-apache-junction:b-5,az-apache-junction,City of Apache Junction,B-5,Industrial,industrial,15000,75,TBD,TBD,TBD,35,TBD,20,10,10,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-4",,official-html,extracted,,"Light industrial by right, heavy industrial conditional. Min lot area 15,000 sf (net). Residential density N/A. Side uses accessory interior side 10 ft. Rear is minimum rear. Uses not extracted."
az-apache-junction:mhp,az-apache-junction,City of Apache Junction,MHP,Manufactured Home Park,residential,435600,50,14,TBD,TBD,15,TBD,8,5,10,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Max density 14 du/ac; min development parcel 10 acres (435,600 sf). Min lot width 50 ft per space; setbacks per-space. Coverage NA in Table 5-2. Min lot area per DU 3,111 sf. See Vol. II 1-9-3."
az-apache-junction:pi,az-apache-junction,City of Apache Junction,PI,Public and Institutional,special,15000,75,22,TBD,TBD,35,TBD,20,10,10,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-4",,official-html,extracted,,"Public/quasi-public/institutional. Min lot area 15,000 sf (net). Max residential density 22 du/ac. Side uses accessory interior side 10 ft. Rear is minimum rear. Uses not extracted."
az-apache-junction:rm-1,az-apache-junction,City of Apache Junction,RM-1,High Density Multiple-Family Residential,residential,7000,60,13,TBD,50,35,TBD,20,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Max density 13 du/ac (min 3,350 sf/du net). min_lot_size_sf = minimum development parcel 7,000 sf."
az-apache-junction:rm-2,az-apache-junction,City of Apache Junction,RM-2,High Density Multiple-Family Residential,residential,7000,60,22,TBD,50,40,TBD,20,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Max density 22 du/ac (min 1,980 sf/du net). min_lot_size_sf = minimum development parcel 7,000 sf."
az-apache-junction:rm-3,az-apache-junction,City of Apache Junction,RM-3,Very High Density Multiple-Family Residential,residential,7000,60,40,TBD,70,60,TBD,20,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Max density 40 du/ac (min 1,089 sf/du net). min_lot_size_sf = minimum development parcel 7,000 sf."
